Primary Attribute	Secondary Attribute	Skill Type	Skill Tier	Skill Name	Parent Skill	Definition
INT	N/A	standard	3	Performance Boost	Optimisation	Every system can go further. This skill extracts more output, power, or reliability from existing designs—without needing to rebuild from scratch.
INT	N/A	magic stabalization	1	Channeling	N/A	Channeling grants your character the ability to act as a conduit for supernatural energy. Whether divine, arcane, or elemental, this skill determines how much mana or power can be safely drawn into the body. The more practiced the channel, the more intense and sustained the force they can wield. Required to effectively channel magic from any sphere.
INT	N/A	magic regeneration	1	Meditation	N/A	Meditation cultivates internal stillness and spiritual clarity. Through this practice, your character recovers mana, centers their will, and fortifies their connection to unseen energies. Meditation is required to restore mana after magical exertion.
INT	N/A	magic access	1	Spellcraft	N/A	Spellcraft is the intellectual mastery of magical form and function. With it, characters access magical spheres and manipulate spell structures with intent and precision. This skill grants access to magical spheres for casting spells.
INT	N/A	magic access	1	Talismanism	N/A	Talismanism is the art of embedding magic into objects—stones, metals, parchment, or bone. It grants access to the same spheres as spellcraft, but through crafted focus rather than cast command. This skill grants access to magical spheres for talisman-based use.
WIS	N/A	standard	1	Perception	N/A	Perception reflects your ability to notice, interpret, and respond to subtle cues in your surroundings. It governs all sensory input—sight, sound, motion, and presence—and helps detect what others overlook. Whether watching from afar or catching a whisper nearby, this skill tunes the mind to the world.
WIS	N/A	standard	2	Visual Acuity	Perception	This skill hones the eyes to spot details, shifts, and movement others miss. Visual Acuity enables clearer recognition at distance, in motion, or under stress. It's about seeing with intent, not just eyesight.
WIS	N/A	standard	3	Long Sight	Visual Acuity	Long Sight allows recognition of distant shapes, figures, or terrain features with remarkable clarity. It extends the visual horizon beyond normal range.
WIS	N/A	standard	3	Low Light Vision	Visual Acuity	This skill enhances the ability to see in dim or near-dark environments without relying on artificial light. It draws on natural adaptation and trained sensory recall.
WIS	N/A	standard	3	Motion Detection	Visual Acuity	With Motion Detection, even the slightest shift draws attention. This skill allows your eyes to prioritize movement instinctively, useful for tracking, spotting ambush, or trailing prey.
WIS	N/A	standard	2	Auditory Acuity	Perception	Auditory Acuity sharpens hearing to catch whispers, shifts in tone, and subtle environmental cues. It trains the ear to isolate sound and react to it with precision.
WIS	N/A	standard	3	Acute Hearing	Auditory Acuity	This skill pushes hearing to its limit—identifying small sounds, distant footsteps, or quiet speech in noisy environments.
WIS	N/A	standard	3	Frequency Filter	Auditory Acuity	Frequency Filter allows the brain to ignore background noise and tune into specific audio ranges. It’s like having an internal noise gate.
WIS	N/A	standard	3	Echo Read	Auditory Acuity	Echo Read interprets sound reflections to detect spatial changes or unseen movement. It enables primitive echolocation-style awareness.
WIS	N/A	standard	2	Situational Awareness	Perception	Situational Awareness connects sensory information into a unified field of understanding. It represents alertness to threat, position, and opportunity from all directions.
WIS	N/A	standard	3	Peripheral Alert	Situational Awareness	Peripheral Alert trains the mind to process input from the edges of vision. It catches side movement, shifting shapes, and sudden threats without full focus.
WIS	N/A	standard	3	Quick Scan	Situational Awareness	This skill allows a fast but meaningful sweep of an environment, noting exits, individuals, or danger in mere moments.
WIS	N/A	standard	3	Blind Spot Detection	Situational Awareness	The user develops an instinctive sense for what isn’t being watched. This skill identifies zones of vulnerability in combat, patrol, or observation.
WIS	N/A	standard	1	Insight	N/A	Insight allows your character to read beneath the surface of words, actions, and silence. It reflects an intuitive grasp of motive, truth, and future consequence. From body language to tone shifts, it turns subtle clues into deep understanding.
WIS	N/A	standard	2	Motive Reading	Insight	This skill focuses on deciphering why someone is acting the way they are. It detects concealed goals, internal conflict, or emotional pressure that shapes behavior.
WIS	N/A	standard	3	Emotion Decoding	Motive Reading	This skill isolates emotional states based on micro-expressions, tone, or gesture. It reads what’s felt even when nothing is said.
WIS	N/A	standard	3	Agenda Exposing	Motive Reading	With this skill, characters can unravel long-term motives or secret goals. It senses not just what someone wants now—but where they’re heading.
WIS	N/A	standard	3	Pattern Spotting	Motive Reading	This skill recognizes behavioral repetition and hidden cycles in speech, movement, or decision-making. It’s the tool for reading people like puzzles.
WIS	N/A	standard	2	Lie Detection	Insight	This skill trains perception to catch moments of dishonesty or distortion. Whether through tension, over-explaining, or misplaced details, deception leaves clues.
WIS	N/A	standard	3	Pulse Check	Lie Detection	Pulse Check reads stress responses—voice shifts, heart rate cues, or physical tells—under questioning. It's not proof, but it's strong suspicion.
WIS	N/A	standard	3	Verbal Tell	Lie Detection	This skill analyzes word choice, filler, and sentence structure to reveal discomfort or deception. The truth struggles to hide in speech.
WIS	N/A	standard	3	Body Language Reading	Lie Detection	Posture, fidgeting, gaze—this skill interprets physical cues that betray truth or falsehood. The body speaks what the mouth avoids.
WIS	N/A	standard	2	Intuitive Forecast	Insight	This skill sharpens instinct toward what’s coming next. It takes small signals—social, environmental, emotional—and makes fast internal predictions.
WIS	N/A	standard	3	Gut Alert	Intuitive Forecast	Gut Alert triggers when something is wrong—timing, words, or atmosphere. It’s an emotional warning, backed by unseen patterns.
WIS	N/A	standard	3	Best Guess Projection	Intuitive Forecast	This skill forms logical predictions based on limited information. It’s the art of filling gaps in real time with tactical intuition.
WIS	N/A	standard	3	Probability Reading	Intuitive Forecast	The user becomes skilled in weighing outcomes, assigning risk, and sensing which path is most likely. It is not calculation—it is practiced foresight.
WIS	N/A	standard	1	Survival	N/A	Survival reflects the ability to live, travel, and adapt in wilderness environments without dependence on civilization. It includes the instincts and training needed to locate resources, read nature, construct shelter, and endure unpredictable conditions. A skilled survivor turns harsh terrain into home, and danger into routine.
WIS	N/A	standard	2	Tracking	Survival	This skill allows a character to identify and follow trails left by people, animals, or creatures. It involves reading broken twigs, altered paths, disturbed ground, and even air currents. Tracking is the art of seeing stories written in the dirt.
WIS	N/A	standard	3	Footprint ID	Tracking	Footprint ID allows the user to determine size, species, gait, and even emotional state from a single track. Through precise interpretation, it reveals everything from weight and gear to urgency or injury.
WIS	N/A	standard	3	Scent Trail	Tracking	This skill enables following a trail through lingering scent markers—natural or artificial. Whether tracking blood, sweat, pheromones, or smoke, the user can isolate and pursue a specific target over time.
WIS	N/A	standard	3	Long Trail Pursuit	Tracking	Long Trail Pursuit grants endurance and clarity when following a trail over vast terrain or across days. It includes interpreting environmental shifts, rerouted paths, and older or disrupted trails.
WIS	N/A	standard	2	Wilderness Foraging	Survival	Foraging involves identifying and collecting edible, medicinal, or useful plants and resources in the wild. This skill separates nourishment from poison, resource from danger. A true forager feeds others without ever drawing steel.
WIS	N/A	standard	3	Edible Plant ID	Wilderness Foraging	This skill provides encyclopedic familiarity with wild flora. It enables recognition of safe, nourishing plants even in unknown regions, including seasonal shifts and regional variants.
WIS	N/A	standard	3	Water Locate	Wilderness Foraging	Water Locate grants the ability to read terrain, vegetation, animal behavior, and geological signs to uncover hidden or distant sources of fresh water. In dry places, this is life magic without the spell.
WIS	N/A	standard	3	Trap Setting	Wilderness Foraging	Trap Setting involves crafting and placing snares, deadfalls, trip lines, or other mechanisms to catch animals or deter intruders. It combines environmental blending with mechanical precision.
WIS	N/A	standard	2	Sheltercraft	Survival	Sheltercraft teaches how to build protective structures using natural or salvaged materials. It includes insulation, wind resistance, concealment, and time-efficient construction. Shelter is survival’s first breath.
WIS	N/A	standard	3	Quick Shelter	Sheltercraft	Quick Shelter emphasizes speed and necessity. It enables rapid deployment of functional shelters using minimal tools—ideal during storms, combat retreats, or exhaustion.
WIS	N/A	standard	3	Camouflage Camp	Sheltercraft	Camouflage Camp blends the campsite into the environment, hiding signs of fire, scent, waste, or movement. This skill is favored by those who know eyes are always watching.
WIS	N/A	standard	3	Hazard Proofing	Sheltercraft	Hazard Proofing reinforces shelter against fire, predators, flood, rockfall, or collapse. It includes smart site selection, pressure release techniques, and layered defense.
WIS	N/A	standard	1	Investigation	N/A	Investigation is the pursuit of truth through focused observation, questioning, and deduction. It combines logic, intuition, and method to uncover hidden facts and reconstruct events. Whether probing a crime scene or unraveling a lie, this skill brings darkness into the light.
WIS	N/A	standard	2	Evidence Gathering	Investigation	This skill covers the physical collection and preservation of clues from any location. From footprints to fibers, it ensures no detail is lost—and nothing is contaminated.
WIS	N/A	standard	3	Trace Collection	Evidence Gathering	Trace Collection focuses on retrieving microscopic or residual materials: hairs, dust, fibers, ash, and more. It detects what others would overlook.
WIS	N/A	standard	3	Tool Mark ID	Evidence Gathering	This skill allows the identification of marks left by tools, weapons, or forced entry. It reconstructs what object was used, how it was used, and by whom.
WIS	N/A	standard	3	Scene Mapping	Evidence Gathering	Scene Mapping organizes all found evidence spatially—recreating the exact layout of events as they unfolded. It turns chaos into a readable timeline.
WIS	N/A	standard	2	Interview Technique	Investigation	Interview Technique covers the process of questioning witnesses or suspects. It involves tone control, observation, and eliciting useful information without overt pressure.
WIS	N/A	standard	3	Rapport Building	Interview Technique	Rapport Building creates emotional connection and trust quickly, even under tense or hostile circumstances. It opens people up—without them realizing.
WIS	N/A	standard	3	Micro Expression Reading	Interview Technique	This skill analyzes momentary facial cues that betray emotion: surprise, anger, fear, deceit. It’s the investigator’s window into unspoken truth.
WIS	N/A	standard	3	Statement Analysis	Interview Technique	Statement Analysis breaks down language patterns to expose inconsistency, bias, or evasion. The choice of words often reveals more than their meaning.
WIS	N/A	standard	2	Analytical Profiling	Investigation	This skill enables the construction of behavioral profiles based on habits, choices, and triggers. It creates a psychological footprint of the unknown.
WIS	N/A	standard	3	Behavior Pattern	Analytical Profiling	This skill identifies recurring behaviors across time, space, or victims. It shows method, repetition, and evolution—often invisible at first glance.
WIS	N/A	standard	3	MO Correlation	Analytical Profiling	MO Correlation links actions or crimes by method, signature, or motive. It connects scattered clues across distance or time.
WIS	N/A	standard	3	Predictive Modeling	Analytical Profiling	Using current evidence and behavior analysis, this skill predicts likely next moves or outcomes. It’s less about certainty, and more about calculated probability.
WIS	N/A	standard	1	Animal Handling	N/A	Animal Handling reflects a deep understanding of animal behavior, needs, and communication. It includes building trust, controlling movement, calming fear, and bonding across species. Whether in stable, field, or wild, this skill turns instinct into cooperation.
WIS	N/A	standard	2	Training	Animal Handling	Training teaches creatures repeatable tasks through reinforcement, command, and patience. It transforms potential into dependable action.
WIS	N/A	standard	3	Obedience Drill	Training	This skill instills absolute compliance to verbal or gestural commands. It creates dependable, disciplined companions ready to act without hesitation.
WIS	N/A	standard	3	Trick Conditioning	Training	Trick Conditioning enables the teaching of complex or performative behaviors for show, distraction, or utility. From bowing to bell-ringing, intelligence is awakened.
WIS	N/A	standard	3	Pack Coordination	Training	This skill synCHAonizes multiple animals for cooperative behavior—movement, defense, or formation. The handler becomes a silent conductor of the pack.
WIS	N/A	standard	2	Riding	Animal Handling	Riding covers the ability to mount, direct, and stay balanced on domesticated or semi-domesticated animals. It includes awareness of gait, behavior, and terrain response.
WIS	N/A	standard	3	Bareback Mastery	Riding	This skill allows full control and balance without tack or saddle. It emphasizes harmony with the animal’s rhythm and movement.
WIS	N/A	standard	3	Mounted Combat	Riding	Mounted Combat grants the ability to fight from atop a creature—timing strikes, pivoting, and directing while moving. It turns rider and mount into one force.
WIS	N/A	standard	3	Rapid Dismount	Riding	This skill allows for safe, controlled, and swift dismount from a moving or rearing mount. It minimizes risk and enables fast transition to ground combat or escape.
WIS	N/A	standard	2	Beast Empathy	Animal Handling	Beast Empathy builds intuitive rapport with creatures through scent, posture, tone, and presence. It opens communication without dominance.
WIS	N/A	standard	3	Calm Beast	Beast Empathy	Calm Beast diffuses fear, aggression, or panic in animals through subtle cues and confident energy. The wild learns to trust.
WIS	N/A	standard	3	Scent Blend	Beast Empathy	This skill masks or modifies the user’s natural scent to reduce threat, trigger familiarity, or blend with a herd.
WIS	N/A	standard	3	Pack Communing	Beast Empathy	Pack Communing allows mutual nonverbal understanding within bonded creatures. It enables mood sensing, silent direction, and shared instinct in the field.
WIS	N/A	standard	1	Mental Fortitude	N/A	Mental Fortitude is the inner armor of the mind—the ability to withstand fear, resist manipulation, and maintain clarity under duress. It reflects emotional control, psychological resilience, and mental discipline. A strong mind does not break—it bends and returns sharper.
WIS	N/A	standard	2	Resolve	Mental Fortitude	Resolve builds resistance against internal collapse. It shields against panic, dread, sorrow, or confusion when the world becomes overwhelming.
WIS	N/A	standard	3	Fear Resistance	Resolve	Fear Resistance enables action in the presence of terror. It suppresses the instinct to freeze or flee and allows thought to continue when the heart races.
WIS	N/A	standard	3	Despair Shield	Resolve	This skill strengthens willpower against despair, hopelessness, or emotional sabotage. It helps the user hold their center when all seems lost.
WIS	N/A	standard	3	Pain Gate	Resolve	Pain Gate filters the body’s pain signals before they reach the conscious mind. It doesn’t erase pain—but it places it behind a locked door.
WIS	N/A	standard	2	Concentration	Mental Fortitude	Concentration trains the mind to anchor itself to a single thought or task, excluding all else. It turns awareness into a laser instead of a floodlight.
WIS	N/A	standard	3	Selective Focus	Concentration	Selective Focus allows the user to tune in to one stream of input while ignoring all others—perfect for combat, study, or meditation.
WIS	N/A	standard	3	Distraction Ignoring	Concentration	This skill builds immunity to ambient noise, visual clutter, and emotional interruption. It protects attention in chaotic or hostile environments.
WIS	N/A	standard	3	Meditation Lock	Concentration	Meditation Lock enables a deep mental state that cannot be broken easily. Even under stress, the user can remain in inner stillness until they choose to return.
WIS	N/A	standard	2	Lucid Dreaming	Mental Fortitude	Lucid Dreaming allows awareness and agency within sleep. It grants memory of dreams, control over dreamspace, and defense against psychic intrusion.
WIS	N/A	standard	3	Dream Recall	Lucid Dreaming	This skill preserves vivid, complete memories of dream experiences—turning fleeting images into usable knowledge or clues.
WIS	N/A	standard	3	Dream Control	Lucid Dreaming	Dream Control allows conscious influence over dreams: shaping events, summoning symbols, or directing outcomes while asleep.
WIS	N/A	standard	3	Nightmare Ban	Lucid Dreaming	This skill enables the user to confront or dispel nightmares—whether psychological, magical, or foreign in origin. Fear has no dominion where the dreamer commands.
WIS	N/A	standard	1	Navigation	N/A	Navigation is the ability to find your way across wilderness, cities, or unknown terrain using landmarks, tools, or instinct. It includes orienteering, mental mapping, and orientation in both natural and constructed spaces. A skilled navigator is rarely lost—and never for long.
WIS	N/A	standard	2	Wayfinding	Navigation	Wayfinding is the practical art of moving across distance with direction and purpose. It relies on reading terrain, sun, stars, water flow, and other natural signs to maintain accurate travel.
WIS	N/A	standard	3	Dead Reckoning	Wayfinding	This skill allows navigation based on last known location, movement speed, and elapsed time—without the need for visible landmarks. It’s used in fog, night, or dense environments.
WIS	N/A	standard	3	Terrestrial Compass	Wayfinding	Terrestrial Compass grants intuitive orientation, allowing the user to instinctively feel cardinal directions—even when disoriented, underground, or magically disrupted.
WIS	N/A	standard	3	Trailblazer	Wayfinding	Trailblazer grants the ability to forge new paths through wild terrain while minimizing hazard and leaving clear markers. It’s not just finding the way—it’s creating one.
WIS	N/A	standard	2	Cartography	Navigation	Cartography is the structured recording and interpretation of terrain through maps, sketches, or glyphs. It allows travelers to leave information behind or share it with others.
WIS	N/A	standard	3	Rapid Sketch Map	Cartography	This skill allows quick creation of functional field maps—usable even when rushed, fatigued, or under pressure. Clarity over beauty.
WIS	N/A	standard	3	Surveying Grid	Cartography	Surveying Grid introduces mathematical precision—aligning map details to consistent scales and coordinates. Essential for construction, defense, or advanced planning.
WIS	N/A	standard	3	Terrain Mapping	Cartography	Terrain Mapping creates detailed elevation and obstacle diagrams, useful for travel, siege, or escape planning. It sees not just the place—but how the place works.
WIS	N/A	standard	2	Urban Orientation	Navigation	Urban Orientation trains the mind to track spatial relationships in dense, shifting environments. It maps buildings, alleys, sewer grates, and choke points in memory.
WIS	N/A	standard	3	Subsurface Routing	Urban Orientation	This skill grants an instinctive understanding of tunnels, catacombs, basements, and underground transit paths. Perfect for infiltration, escape, or smuggling.
WIS	N/A	standard	3	Shortcut Analysis	Urban Orientation	Shortcut Analysis spots fast or hidden routes others overlook—gaps in fences, alley angles, or rooftop paths. Every space becomes a tool.
WIS	N/A	standard	3	Evacuation Pathing	Urban Orientation	This skill enables rapid creation of exit plans in real time—accounting for crowds, blockages, or environmental collapse. It’s used by those who expect things to go wrong.
WIS	N/A	standard	1	Herbal Lore	N/A	Herbal Lore is the ancient study of plants and their hidden powers—curative, toxic, or alchemical. It requires both intuition and experience to safely work with herbs across regions, climates, and seasons. A master of this skill sees medicine where others see weeds, and poison where others see beauty. The land itself becomes both a toolkit and a weapon.
WIS	N/A	standard	2	Medicinal Herbs	Herbal Lore	Medicinal Herbs focuses on plants that restore, soothe, or cleanse. From poultices to teas, it teaches how to extract life-giving properties from nature’s bounty. This skill forms the core of natural healing without magic.
WIS	N/A	standard	3	Antiseptic Application	Medicinal Herbs	This skill allows for the creation of topical mixtures that prevent infection, reduce swelling, and sterilize wounds. It emphasizes clean preparation, sterile wrapping, and field-ready treatments. The difference between rot and recovery often lies here.
WIS	N/A	standard	3	Analgesic Mix	Medicinal Herbs	Analgesic Mix covers the creation of pain-relieving formulas through oils, tinctures, and compresses. It teaches precise dosage, delayed release, and targeted effect—relief without clouding judG.O.Dent.
WIS	N/A	standard	3	Healing Poultice	Medicinal Herbs	A Healing Poultice draws infection, closes minor wounds, and accelerates natural recovery. This skill blends texture, heat, and herb layering to maximize effectiveness during rest. It is the healer’s silent ally.
WIS	N/A	standard	2	Toxic Botany	Herbal Lore	Toxic Botany is the art of identifying and harnessing dangerous plants for offensive or defensive use. It explores paralysis, nausea, confusion, and even death—through seeds, saps, and spores. This knowledge walks the edge of taboo.
WIS	N/A	standard	3	Neurotoxin Extraction	Toxic Botany	This skill isolates precise chemical agents that disrupt nerve signals—leading to paralysis, spasms, or failure of control. Extraction requires ritual, timing, and deadly accuracy.
WIS	N/A	standard	3	Irritant Dust	Toxic Botany	Irritant Dust creates airborne powders that blind, choke, sting, or disorient. It is used for nonlethal control, escape tactics, or distraction. The skill includes drying, grinding, and blending agents to trigger biological reflexes.
WIS	N/A	standard	3	Paralytic Concoction	Toxic Botany	This skill enables creation of mixtures that lock joints, slow movement, or collapse muscle function temporarily. Used correctly, it leaves a target helpless but alive.
WIS	N/A	standard	2	Alchemical Reagents	Herbal Lore	Alchemical Reagents are herbs refined for use in potions, enchantments, or chemical reactions. This skill teaches solvent pairing, heat reaction, and component isolation for high purity. It blends science with instinct.
WIS	N/A	standard	3	Solvent Infusion	Alchemical Reagents	Solvent Infusion suspends an herb’s active essence into oil, alcohol, or acid, allowing long-term storage or concentrated release. It’s the cornerstone of potioncraft and ritual use.
WIS	N/A	standard	3	Catalyst Powder	Alchemical Reagents	Catalyst Powders spark reactions—magical or chemical—when added to brews, flasks, or spells. This skill demands precision milling, drying, and activation timing.
WIS	N/A	standard	3	Essence Distillation	Alchemical Reagents	This skill extracts a plant’s purest effect into liquid or crystalline form. It is delicate, powerful, and volatile—used for rituals, elite potions, or rare salves. Only the most disciplined dare push this far.
WIS	N/A	standard	1	Dreamcraft	N/A	Dreamcraft is the conscious exploration and manipulation of dreams—whether your own or others’. It bridges the waking and unconscious worlds, revealing hidden meanings, memories, and futures. Those skilled in Dreamcraft walk through their mind as if it were terrain, and shape dreamspace as others shape clay.
WIS	N/A	standard	2	Dream Interpretation	Dreamcraft	Dream Interpretation focuses on reading and decoding symbolic language within dreams. It discerns what images mean emotionally, spiritually, or prophetically. This is the key to unlocking messages woven in metaphor.
WIS	N/A	standard	3	Symbol Decoding	Dream Interpretation	This skill grants deep fluency in interpreting dream-symbols based on culture, personal resonance, or archetypal structure. A sword isn’t always a weapon—sometimes it’s guilt, power, or protection.
WIS	N/A	standard	3	Emotional Resonance	Dream Interpretation	This skill detects the emotional truth behind dream elements, even when disguised by imagery. It reveals what the dreamer feels but cannot name.
WIS	N/A	standard	3	Memory Unseal	Dream Interpretation	Memory Unseal allows repressed or forgotten experiences to rise into dreamspace. Through careful reflection and guidance, the sleeper recalls what was lost—or hidden.
WIS	N/A	standard	2	Lucid Dream Navigation	Dreamcraft	Lucid Dream Navigation grants control within the dream. It allows movement between dream layers, shaping of surroundings, and preservation of awareness while sleeping.
WIS	N/A	standard	3	Dreamwalk Control	Lucid Dream Navigation	This skill allows conscious direction of action, location, and interaction within dreams. Whether flying, hiding, or confronting, the dream becomes a chosen path.
WIS	N/A	standard	3	Dream Door Forge	Lucid Dream Navigation	Dream Door Forge creates gateways within the dream—portals to memories, other dreamers, or archetypal realms. Used by mystics, walkers, and dreambound.
WIS	N/A	standard	3	Nightmare Override	Lucid Dream Navigation	This skill grants the power to confront, reshape, or banish nightmares at will. It prevents fear from seizing control of dreamspace—and reclaims sovereignty.
WIS	N/A	standard	2	Prophetic Dreaming	Dreamcraft	Prophetic Dreaming tunes the mind to dreams that reveal fraG.O.Dents of the future. It may arrive as symbol, scene, or feeling—but the message is real. This is not control; it is reception.
WIS	N/A	standard	3	Premonition Trigger	Prophetic Dreaming	This skill increases the frequency and clarity of foresight dreams, often through ritual, herbs, or intention. It awakens the sleeping mind to possibility.
WIS	N/A	standard	3	Parallel Vision	Prophetic Dreaming	Parallel Vision allows the dreamer to glimpse simultaneous outcomes, timelines, or selves. It grants insight into the consequences of choice before waking.
WIS	N/A	standard	3	Destiny Thread	Prophetic Dreaming	Destiny Thread reveals the single, strongest line through fate within a dream. It grants the dreamer a glimpse of the pattern pulling all else forward—if they can accept its truth.
WIS	N/A	magic access	1	Faith	N/A	Faith is unwavering conviction rooted in belief, devotion, or sacred law. It represents spiritual certainty and inner alignment with divine principles. This skill is required for access to magical spheres via the path of Faith.
WIS	N/A	magic regeneration	1	Prayer	N/A	Prayer is the disciplined act of speaking, reaching, or listening to divine presence. Through it, a character may call on spheres granted by their deity, receiving insight, strength, or magical effect. This is your sphere access skill for the Faith path.
WIS	N/A	magic stabalization	1	Devotion	N/A	Devotion is sustained spiritual focus—ritual, mantra, or obedience—that strengthens the soul’s connection to its source. It multiplies the power of one's Faith during magical or divine restoration. Used with Faith to determine mana recovery.
WIS	N/A	magic access	1	Psionic Focus	N/A	Psionic Focus trains the mind to exclude all noise and lock onto a singular goal. It is mental stillness forged into action. Required for access to psionic disciplines.
WIS	N/A	magic stabalization	1	Psionic Channeling	N/A	Psionic Channeling allows the user to act as a conduit for mental or psychic force. It governs how much psionic energy can be safely drawn, stored, or directed. Used with Psionic Meditation to determine energy recovery.
WIS	N/A	magic regeneration	1	Psionic Meditation	N/A	Psionic Meditation builds calm within the storm of thought. It enables the user to recover spent psionic energy and stabilize their internal field. Used to multiply psionic regeneration through mental clarity.
CHA	N/A	standard	1	Persuasion	N/A	The foundational skill for influencing thoughts, emotions, and behavior through charm, tone, and compelling language. Persuasion opens the door to cooperation without coercion, turning resistance into willingness and transforming interactions into opportunity.
CHA	N/A	standard	2	Negotiation	Persuasion	The practiced art of reaching mutual benefit through conversation, compromise, and strategy. Negotiation thrives in tense standoffs, business deals, and political meetings—where stakes are high and every word has weight.
CHA	N/A	standard	3	Win Win Bargaining	Negotiation	A diplomatic approach to deal-making that prioritizes shared benefit over dominance. This technique leaves both sides feeling heard, valued, and willing to engage again. Especially useful in alliances, trade, or team cohesion.
CHA	N/A	standard	3	Hard Ball Tactics	Negotiation	An aggressive form of negotiation focused on leverage, intimidation, or strategic threats. Ideal for pressing advantage or forcing concessions in cutthroat dealings, though often at the cost of goodwill.
CHA	N/A	standard	3	Concession Cue	Negotiation	The intuitive sense for when and how to offer just enough to break a stalemate without undermining your position. It’s the art of giving up little to gain much—often unlocking progress with a single, well-placed gesture.
CHA	N/A	standard	2	Diplomacy	Persuasion	The high art of peaceful engagement across differing interests, nations, or ideologies. Diplomacy defuses conflict, fosters alliances, and ensures that the wrong word doesn't start a war. It’s language as armor and olive branch.
CHA	N/A	standard	3	Protocol Fluency	Diplomacy	Mastery of etiquette, cultural customs, and ceremonial nuance. This fluency earns respect in formal settings and prevents unintentional offenses that could derail progress or provoke retaliation.
CHA	N/A	standard	3	Crisis Mediation	Diplomacy	The ability to maintain control, de-escalate tension, and restore communication during volatile or emotionally charged conflicts. It’s diplomacy under fire—when stakes are high and words must be chosen with care.
CHA	N/A	standard	3	Treaty Draft	Diplomacy	The crafting of binding agreements with foresight, legal weight, and diplomatic finesse. Treaties shaped through this skill endure pressure, resist exploitation, and signal power through precision.
CHA	N/A	standard	2	Inspiration	Persuasion	The capacity to ignite passion, hope, or resolve in others through tone, presence, or message. Inspiration rallies hearts when logic fails and elevates morale when odds turn grim.
CHA	N/A	standard	3	Rally Speech	Inspiration	A powerful oration designed to unify, embolden, or galvanize a group. Whether before battle or at the brink of despair, the right words delivered at the right time can shift fate.
CHA	N/A	standard	3	Morale Boost	Inspiration	The steady practice of uplifting others through encouragement, empathy, and recognition. Morale Boost reinforces emotional resilience, especially during hardship, uncertainty, or long-term stress.
CHA	N/A	standard	3	Vision Casting	Inspiration	The ability to speak a dream so clearly that others begin to believe in it. Vision Casting turns abstract ideas into shared purpose, rallying followers to pursue goals that may not yet exist—but feel within reach.
CHA	N/A	standard	1	Deception	N/A	The core ability to obscure truth, manipulate perception, or create entirely false narratives. Deception doesn’t rely on brute strength or logic—it thrives on confidence, timing, and the subtle art of misdirection.
CHA	N/A	standard	2	Bluffing	Deception	The craft of projecting certainty behind a false claim. Bluffing works by making others question their instincts—whether at a poker table, during interrogation, or when caught in a lie.
CHA	N/A	standard	3	Quick Lie	Bluffing	The rapid delivery of a falsehood with no hesitation, often used to redirect suspicion or buy precious seconds. It's a survival mechanism for fast talkers under pressure.
CHA	N/A	standard	3	Plausible Detail	Bluffing	The strategic insertion of small, believable facts that make a lie harder to detect. These anchors ground fiction in just enough reality to disarm doubt.
CHA	N/A	standard	3	Confidence Ploy	Bluffing	The use of unshakable demeanor, commanding tone, and assertive posture to make a falsehood seem undeniable. Sometimes people don’t believe what’s said—they believe how it's said.
CHA	N/A	standard	2	Disguise	Deception	The act of altering physical appearance, voice, or demeanor to mask identity. Disguise isn't just makeup and costumes—it’s posture, habits, and the ability to vanish in plain sight.
CHA	N/A	standard	3	Costuming	Disguise	Mastery over outfits, accessories, and visual cues that can establish new roles or backgrounds. From noble silks to peasant rags, each stitch sells the story.
CHA	N/A	standard	3	Voice Mimicry	Disguise	The ability to replicate vocal tone, cadence, and mannerisms—useful for impersonation, infiltration, or sowing confusion. In the right hands, a single phrase can open locked doors.
CHA	N/A	standard	3	Identity Swap	Disguise	The complete assumption of another persona, including their habits, gestures, and history. At this level, even close allies might be fooled… or replaced.
CHA	N/A	standard	2	Forgery	Deception	The creation or alteration of physical documents to simulate authenticity. From fake IDs to royal decrees, forgery opens doors and covers tracks.
CHA	N/A	standard	3	Signature Copy	Forgery	Precise replication of handwriting, seals, or marks. Ideal for validating forgeries, falsifying orders, or stealing identity in ink.
CHA	N/A	standard	3	Document Aging	Forgery	Techniques for making fake materials appear ancient, damaged, or timeworn. This adds a layer of realism that helps forgeries pass inspection or fool historians.
CHA	N/A	standard	3	Security Hologram	Forgery	The reproduction of magical seals, digital signatures, or arcane emblems. Useful in high-tech or enchanted settings where illusion must match complexity.
CHA	N/A	standard	1	Performance Arts	N/A	The expressive mastery of emotion, rhythm, and presence across visual, vocal, and physical mediums. Whether to entertain, provoke, or inspire, performance transforms talent into influence and the mundane into magic.
CHA	N/A	standard	2	Acting	Performance Arts	The ability to convincingly portray characters, personas, or emotional states not your own. Acting bridges illusion and reality—whether on stage or in subterfuge.
CHA	N/A	standard	3	Method Performance	Acting	Full emotional and physical immersion into a role, blurring the line between performer and character. This depth of embodiment creates performances that are hauntingly real.
CHA	N/A	standard	3	Improvised Scene	Acting	The spontaneous crafting of dialogue and action without script or planning. This skill shines under pressure—when only instinct and imagination remain.
CHA	N/A	standard	3	Stage Presence	Acting	The commanding aura that draws and holds attention effortlessly. A strong presence doesn’t beg to be seen—it demands it with posture, pause, and poise.
CHA	N/A	standard	2	Music	Performance Arts	The emotional manipulation of sound through melody, rhythm, and harmony. Music bypasses thought to strike the heart directly—whether through joy, sorrow, or awe.
