Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Ascendant Weapon Sigil	Enchantment	Grand Master	99	50	Touch (2)	--	Combat Round (5) + Lingering (+24 steps = 26)	Elevate one weapon to an ephemeral relic: each hit gains +18 resonant damage; the wielder gains +4 attack accuracy while wielding this weapon; the weapon carries one reactive dispel against the first harmful effect targeting the wielder or the attack; a localized stability sheath resists flux around the weapon.	Container 1: Target (1) → Stand Alone: Damage (+18 = 37) | Container 2: Target (1) → Stand Alone: Buff (+4 attack accuracy = 5) | Container 3: Target (1) → Stand Alone: Counter/Cancel (6) | Container 4: Temporal/Spatial (5) → Stand Alone: Spatial Bubble (8)	Range: Touch (2); Duration: Combat Round (5) + Lingering (+24 steps = 26)	Release (Delayed) (+2) (trigger: on draw/unsheathe)	• Duration only ticks while the weapon is drawn; while sheathed the effect is dormant (no ticking, no benefits). • You may pre-cast with the rune dormant; drawing the weapon triggers the release. • Targets one non-enchanted weapon; if already enchanted, G.O.D. may allow this on-hit rider to override lesser riders for the duration (no stacking). • Reactive dispel expends automatically on the first qualifying hostile effect, then is gone. • Stability sheath protects only the weapon’s immediate path/space; it is not a general defense. • Anti-magic of High Master+ may suppress effects while present; removal requires ending the spell. • On critical fumble, the sigil flickers; at G.O.D. discretion, lose 1 lingering step.	“Hold what you are for a heartbeat longer—and let history fit your hand.”	--
Heart’s Influence	Charm	Apprentice	10	5	Touch (2)	--	Combat Step (2)	Apprentice: minor buff to morale and resistance to fear. Expands at higher levels to AoE inspiration/dread effects and battlefield-wide emotional manipulation.	Container 1: Target (1) → Stand Alone: Buff (+5% morale bonus = 2 Mana)	Range: Touch (2), Duration: Combat Step (2)	Progressive Spell (3)	• Apprentice: Subtle charm grants one ally courage, providing +5% to morale-related checks and resistance against fear for 1 combat step. • Novice: Influence extends—either emboldening up to 3 allies (+1 stat or +5% rolls) or sowing dread in 1 foe (–5% to rolls, shaken confidence) for 1 combat round. • Master: Emotion spreads as an aura (AoE radius 10 ft); allies within gain +1 stat, enemies suffer –1 stat; may affect both simultaneously. • High Master: Aura scales to 30 ft and lasts 2 rounds; caster may choose to amplify unity (+10% ally rolls) or collapse enemy resolve (Stun/Daze 1 step on failed Will save). • Grand Master: A tide of resonance engulfs a vast zone (100 ft sphere, Line of Sight); allies fight with transcendent unity (+15% all rolls, immunity to fear), enemies face crushing despair (–15% rolls, potential immobilization); lingering after-effects reshape morale of armies or cities at G.O.D. discretion.	“Every heart beats to a rhythm—this spell simply chooses the tune.”	Apprentice: Single-target courage buff. • Novice: Multi-target ally inspiration or single-target enemy dread. • Master: AoE aura granting buffs/debuffs. • High Master: Larger aura with stun/daze potential. • Grand Master: Battlefield-wide resonance altering morale of armies, lingering even beyond combat.
Soothing Presence	Charm	Apprentice	9	5	Short (30 ft = 4)	Radius (10 ft = 3)	Combat Step (2)	Allies within 10 ft radius gain +5% to Will saves and morale checks; temporary relief from fear effects.	Container 1: AoE (2) → Stand Alone: Buff (+5% morale bonus = 2)	Range: Short (30 ft = 4), Shape: Radius 10 ft (3), Duration: Combat Step (2)	--	• Does not stack with other morale buffs unless ruled by G.O.D. • Aura fades immediately when duration ends. • Ineffective against mindless or emotionless beings.	“A calm word steadies even the most trembling hand.”	--
Momentary Dread	Charm	Apprentice	10	5	Short (30 ft = 4)	--	Combat Step (2)	Target suffers –5% to all rolls for 1 step and must resist or hesitate, losing confidence.	Container 1: Target (1) → Stand Alone: Debuff (–5% = 2)	Range: Short (30 ft = 4), Duration: Combat Step (2)	--	• If target is already under a fear effect, penalties stack only at G.O.D. discretion. • Ineffective against creatures immune to fear or without minds. • Can alert enemies that the caster is dangerous, drawing attention.	“The eyes of dread need only meet yours once.”	--
Rallying Cry	Charm	Novice	16	8	Medium (60 ft = 5)	Radius (10 ft = 3)	Combat Round (5)	Allies within radius gain +1 to morale rolls and saves against fear for 1 round.	Container 1: AoE (2) → Stand Alone: Buff (+1 stat = 2)	Range: Medium (5), Shape: Radius (3), Duration: Combat Round (5)	--	• Effects do not stack with other morale buffs. • Ineffective if allies cannot hear the caster’s cry. • May unintentionally draw enemy attention to the caster. • Works poorly in magically silenced zones.	“One voice can turn the tide of a thousand.”	--
Seed of Doubt	Charm	Novice	14	7	Short (30 ft = 4)	--	Combat Round (5)	Target suffers –10% penalty to morale and attack rolls for 1 round.	Container 1: Target (1) → Stand Alone: Debuff (–10% = 4)	Range: Short (4), Duration: Combat Round (5)	--	• Does not stack with other debuffs of the same type. • Particularly effective on leaders or commanders. • Ineffective against mindless or highly disciplined foes. • Can erode trust if overused on allies during training.	“Even the strongest warrior can falter when they question their own hand.”	--
Shared Bond	Charm	Novice	18	9	Medium (60 ft = 5)	Multi-Target (3)	Combat Round (5)	Up to 3 allies gain +5% to morale rolls and saves; linked allies resist fear and hesitation.	Container 1: Target (1) → Stand Alone: Buff (+5% = 2)	Range: Medium (5), Multi-Target (3), Duration: Combat Round (5)	--	• Link only works while allies remain within range. • Does not transmit language or tactics, only presence. • Ineffective on unwilling targets. • Stacks poorly with other morale effects.	“Three hearts may beat as one, if bound by trust.”	--
Chains of Devotion	Charm	Master	32	16	Medium (60 ft = 5)	--	Combat Round (5)	Target is immobilized for 1 round unless they succeed a Will save. Victim appears loyal and unwilling to act against caster.	Container 1: Control (2) → Stand Alone: Immobilize (6)	Range: Medium (5), Duration: Combat Round (5)	--	• Targeted foe may resist with a Will save. • Ineffective against mindless creatures or those immune to charm. • Can provoke hostility if target breaks free. • May have lasting narrative effects on victim’s perception of caster.	“Devotion can bind tighter than any chain.”	--
Harmony’s Veil	Charm	Master	44	22	Medium (60 ft = 5)	Sphere (30 ft radius = 5)	Combat Round (5)	Allies gain +1 to attack rolls and morale saves; enemies suffer –1 to rolls while in the aura.	Container 1: AoE (2) → Stand Alone: Buff (+1 stat = 2); Container 2: AoE (2) → Stand Alone: Debuff (–1 stat = 2)	Range: Medium (5), Shape: Sphere 30 ft (5), Duration: Combat Round (5)	--	• Effects persist as long as enemies and allies remain in the aura. • Does not stack with other morale effects. • Ineffective against mindless creatures. • Area resonance can be felt by non-combatants nearby, drawing attention.	“The world itself sings—you choose who hears harmony and who hears discord.”	--
False Idol	Charm	Master	47	24	Line of Sight (10)	Sphere (20 ft radius = 5)	Combat Round (5)	Enemies in radius suffer –10% morale and hesitation; allies within radius treat caster as a leader, gaining +10% to morale checks.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4) → Nested Container: Control (2) → Stand Alone: Stun/Daze (6)	Range: Line of Sight (10), Shape: Sphere 20 ft (5), Duration: Combat Round (5)	--	• Victims may resist with a Will save. • Long-term loyalty or dread may linger beyond combat at G.O.D. discretion. • Ineffective against those immune to illusions or mind effects. • Risk of backlash if allies recognize manipulation. • May alter campaign narrative significantly if used often.	“To play at god is to risk being remembered as one.”	--
Symphony of Souls	Charm	High Master	72	36	Long (120 ft = 7)	Sphere (50 ft radius = 8)	2 Combat Rounds (10)	Allies in radius gain +10% attack, morale, and save rolls; enemies suffer –10% rolls and –1 initiative step.	Container 1: AoE (2) → Stand Alone: Buff (+10% = 4); Container 2: AoE (2) → Stand Alone: Debuff (–10% = 4) + Control (2) → Stand Alone: Decelerate/Slow (–1 init = 4)	Range: Long (7), Shape: Sphere 50 ft (8), Duration: 2 Combat Rounds (10)	--	• Effects persist only while targets remain in range. • Enemies may attempt Will saves each round to resist. • Ineffective against creatures immune to charm/fear. • Song can be heard by all, making stealth impossible. • Emotional after-effects may linger even after combat, altering morale. • Risk of backlash if allies perceive loss of free will in harmony effect.	“When one heart sings, others may listen; when all hearts sing, the world must obey.”	--
Puppet Strings	Charm	High Master	85	43	Medium (60 ft = 5)	Cone (30 ft = 3)	Combat Round (5)	Enemies in cone must succeed a Will save or be restrained and forced to make one attack against allies of caster’s choice.	Container 1: Control (2) → Stand Alone: Grapple/Restrain (4); Container 2: Temporal/Spatial (5) → Stand Alone: Link/Bind (6)	Range: Medium (5), Shape: Cone (3), Duration: Combat Round (5)	--	• Each victim may resist with a Will save each round. • Foes under effect may injure allies, causing morale fallout. • Ineffective against mindless creatures or those immune to control. • Visible “strings” may reveal caster’s presence. • Highly taxing on caster; risk of disorientation if control snaps suddenly. • Morally questionable use may impact reputation or narrative.	“Every heart has strings—some pull themselves, others are pulled.”	--
Dominion of the Heart	Charm	Grand Master	156	78	Line of Sight (10)	Sphere (100 ft radius = 10)	3 Combat Rounds (15)	Allies in radius gain +15% rolls and immunity to fear; enemies suffer –15% rolls, must save or become immobilized in awe/fear. Leaders or commanders may be forced into loyalty or submission at G.O.D. discretion.	Container 1: AoE (2) → Stand Alone: Buff (+15% = 6); Container 2: AoE (2) → Stand Alone: Debuff (–15% = 6) + Control (2) → Stand Alone: Immobilize (6); Container 3: Control (2) → Stand Alone: Blind/Deaf/Silence (5) → Nested Container: Temporal/Spatial (5) → Stand Alone: Link/Bind (6)	Range: Line of Sight (10), Shape: Sphere 100 ft (10), Duration: 3 Combat Rounds (15)	--	• Enemies may attempt Will saves each round, but with disadvantage. • Commanders/leaders may remain loyal or broken after combat, permanently altering narrative. • Ineffective against true mindless foes, though morale impact still ripples outward. • Backlash risk: caster must save or suffer psychic shock, daze, or partial loss of identity. • Emotional aftereffects may linger in entire regions or armies. • Overuse risks permanent corruption of caster’s own will, confusing self with role. • May trigger divine or cosmic scrutiny for violating free will on a massive scale. • Can shift entire campaigns, ending wars or sparking rebellions.	“One will to guide them, one heart to command them, one presence to reshape the world.”	--
Phantom Flicker	Illusion	Apprentice	10	4	Short (4)	--	Instantaneous (1)	Creates a brief illusory distraction.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4)	Range: Short (4), Duration: Instantaneous (1)	--	• Flicker is purely sensory and causes no real harm. • Target may ignore effect if highly focused. • Works best in dim light or chaotic settings.	“A spark where none exists, a whisper in the dark—just enough to break their focus.”	
Veiled Step	Illusion	Apprentice	8	5	Self (1)	--	Combat Step (2)	Minor concealment that blurs the caster’s form.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4)	Range: Self (1), Duration: Combat Step (2)	--	• Grants –5% to enemy Perception rolls against caster. • Breaks instantly if caster makes a loud action or direct attack. • Ineffective in bright light.	“Step lightly, wrapped in the hush of shadows.”	
False Face	Illusion	Apprentice	9	5	Touch (2)	--	Combat Step (2)	Illusory disguise that alters visual perception.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4)	Range: Touch (2), Duration: Combat Step (2)	--	• Grants +5% to disguise/stealth rolls. • Enemies may require a Perception check to pierce illusion. • Breaks instantly if touched or if caster suffers damage.	“A mask woven of shadow and light, convincing until the moment it is broken.”	
Phantasmal Echoes	Illusion	Novice	20	10	Short (4)	--	Combat Round (5)	Up to 3 allies gain illusory doubles; enemies attacking them suffer –10% accuracy for 1 round; Perception save can reveal the true target.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4), Debuff (–10% accuracy = 3)	Range: Short (4), Duration: Combat Round (5), Multi-Target (3)	--	• Physical contact or grapples reveal the true body (illusions collapse for that observer). • Bright, steady lighting grants advantage to Perception checks against the effect. • Does not interfere with ally actions or lines of sight; purely visual refraction. • G.O.D. may grant situational bonuses to foes using blindsense or tremorsense.	“Strike the light; watch the shadow laugh.”	--
Specter’s Whisper	Illusion	Novice	19	10	Short (4)	--	Combat Round (5)	Plants illusory sounds in up to 3 minds; each affected target suffers –5% Perception and may hesitate or misjudge directions for 1 round.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4), Debuff (–5% Perception = 2)	Range: Short (4), Duration: Combat Round (5), Multi-Target (3)	--	• Targets may attempt a Will/Perception save to dismiss the whisper as false. • Cannot deliver complex commands or compel actions; it only mimics sound. • Silent to uninvolved creatures; anti-magic zones or silence fields may suppress it. • Repeated use against the same creature in a scene grants them advantage to disbelieve.	“Who called your name? Turn, and lose the moment.”	--
Glamour Veil	Illusion	Novice	18	9	Touch (2)	--	Combat Round (5)	Up to 3 allies adopt convincing disguises; each gains +10% to disguise/stealth checks for 1 round; visuals only, collapses on close physical inspection.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4), Buff (+10% disguise/stealth = 3)	Range: Touch (2), Duration: Combat Round (5), Multi-Target (3)	--	• Must touch each ally during casting; breaking formation weakens the “shared role” fiction. • Direct handling, grapples, or obvious tactile checks expose the disguise to that observer. • Strong, fixed lighting and known heraldry increase chances to see through the glamour. • Pairs well with forged papers, confident speech, and appropriate tools/props.	“Wear the story, and the world will read it.”	--
Phantasmal Army	Illusion	Master	30	15	Medium (60 ft)	Cube/Zone (20 ft)	1 Combat Round	Overwhelming false forces confuse and demoralize enemies, forcing morale checks and wasted attacks.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4), Stand Alone: Debuff (–10% rolls = 4).	Range: Medium (5), Shape: Cube/Zone (8), Duration: Combat Round (5)	—	• Enemies inside must roll Perception/Wisdom vs caster’s successes or treat illusions as real. • Allies unaffected. • Works best in open combat.	“The clash of steel, the roar of voices—yet no blade can touch you.”	—
Veil of Shadowstep	Illusion	Master	28	14	Self	—	2 Combat Steps	Afterimages reduce accuracy of enemy attacks while boosting caster’s evasive mobility.	Container 1: Target (1) → Stand Alone: Illusion/Mask (4), Stand Alone: Buff (+10% dodge = 4).	Range: Self (1), Duration: Lingering (2×2 = 4)	Concentration (–2)	• While maintained, attacks against caster suffer –10% accuracy. • Caster gains +10% to dodge rolls. • Ends if concentration breaks.	“Where one shadow ends, another begins—and you walk between them.”	—
Maze of Mirrors	Illusion	Master	46	23	Short (30 ft)	Sphere (20 ft)	1 Combat Round + 2 Lingering Steps	Illusory maze imprisons foes, forcing movement penalties and perception failures.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4), Stand Alone: Control: Immobilize (6), Stand Alone: Debuff (–10% accuracy = 4).	Range: Short (4), Shape: Sphere (8), Duration: Combat Round (5) + Lingering (4)	Environmental Dependency (–3)	• Targets must pass opposed Perception vs caster’s roll or become trapped in false corridors. • Movement halved even on a success. • Cannot be cast without reflective surfaces or light.	“The mirror shows you every path but the one that leads out.”	—
The Shattered City	Illusion	High Master	72	36	Line of Sight (10)	Sphere (30 ft)	2 Combat Rounds + 2 Lingering Steps	Battlefield-sized illusory catastrophe, breaking enemy coordination and morale.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4), Stand Alone: Debuff (–15% accuracy & morale = 6), Stand Alone: Control: Stun/Daze (6).	Range: Line of Sight (10), Shape: Sphere (11), Duration: Combat Round (5) + Lingering (4).	Backlash Risk (–5).	• Enemies inside must succeed Perception/Wisdom save or lose 1 action from panic. • All attacks inside suffer –15% accuracy. • Illusion may overwhelm allies with sensory overload (–5% rolls if they fail saves). • Backlash: caster risks psychic shock if control roll fails (stunned 1 step).	“Stone falls, steel bends, and the city screams—yet nothing has changed.”	--
Nightmare Menagerie	Illusion	High Master	84	42	Medium (60 ft)	Sphere (30 ft)	2 Combat Rounds	Illusory beasts cause paralysis, morale collapse, and combat hesitation.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4), Stand Alone: Control: Immobilize (6), Stand Alone: Debuff (–15% morale = 6).	Range: Medium (5), Shape: Sphere (11), Duration: Combat Round (5) × 2 = 10.	Concentration (–2).	• Enemies must save vs Wisdom/Perception or be immobilized by fear for 1 round. • Even on success, enemies suffer –15% morale/accuracy. • Illusion may bleed into nightmares after combat (G.O.D. discretion). • If concentration breaks, caster suffers lingering hallucinations for 1d4 steps.	“Every shadow hides teeth, and they are all coming for you.”	--
Eclipse of Truth	Illusion	Grand Master	132	66	Line of Sight (10)	Sphere (100 ft)	2 Combat Rounds + 3 Lingering Steps	World-scale layered illusion creating false eclipse, shifting terrain, shadow predators, and temporal dissonance.	Container 1: AoE (2) → Stand Alone: Illusion/Mask (4), Stand Alone: Debuff (–20% accuracy & morale = 8). Container 2: Control (2) → Stand Alone: Immobilize (6), Stand Alone: Stun/Daze (6). Container 3: Temporal/Spatial (5) → Stand Alone: Spatial Bubble (8).	Range: Line of Sight (10), Shape: Sphere (15), Duration: Combat Round (5) × 2 + Lingering (6).	Backlash Risk (–5), Environmental Dependency (–3).	• All creatures in zone must pass opposed Perception/Wisdom vs caster or be unable to distinguish allies from foes (risk of friendly fire). • Enemies suffer –20% morale/accuracy baseline; failed saves impose immobilization or loss of action. • Spatial distortion slows movement; all travel halved. • Allies risk partial blindness or disorientation if unprepared (-5% rolls until acclimated). • Backlash: failed control roll traps caster in lingering hallucinations. • Aftermath: survivors may experience recurring visions, paranoia, or battlefield trauma (G.O.D. discretion).	“The sun itself yields to shadow, and truth is swallowed whole.”	--
Find Familiar	Summoning	Apprentice	9	5	Touch		Combat Step	* Summons a minor familiar (spirit in animal form). * May deliver touch‑range spells. * Provides limited sensory impressions (G.O.D discretion).	Container: Target (1) → Summon (minor, 8)	Range: Touch (2); Duration: Combat Step (2)	Concentration (–2); Component Requirement (–2)	* If reduced to 0 HP, the familiar vanishes without a corpse. * Form may vary on each casting unless bound by a contract. * Requires whispered true‑name and a chalk circle to cast.	“The bond of a name whispered into the void becomes fur and feather.”	—
Call Trinket	Summoning	Apprentice	8	4	Self		Instantaneous	* Summons a minor object you already possess (belt/pack/pocket). * Appears instantly in hand.	Container: Target (1) → Summon (minor object, 8)	Range: Self (1); Duration: Instantaneous (1)	Environmental Dependency (–3)	* Cannot retrieve items not personally owned or carried. * G.O.D may impose noise/light tells on arrival. * Fails harmlessly if the item is not on your person.	“Your hand slips into nowhere, and comes back holding just what you need.”	—
Spirit Lantern	Summoning	Apprentice	10	5	Self		Combat Step	* Summons a harmless lantern‑spirit that sheds bright light in a close radius. * May gesture or drift toward danger (G.O.D discretion).	Container: Target (1) → Summon (minor, 8)	Range: Self (1); Duration: Combat Step (2)	Concentration (–2)	* Vanishes immediately if concentration breaks. * Provides no damage; may disrupt stealth in darkness. * Flickers or dims in strong anti‑magic.	“A light borrowed from beyond the veil, eager to guide but never to fight.”	—
Summon Pack Beast	Summoning	Novice	16	8	Short (30 ft)		Combat Round	* Summons one medium beast ally. * Obeys basic verbal commands. * Vanishes at end of duration.	Container: Target (1) → Summon (minor beast, 8)	Range: Short (4); Duration: Combat Round (5)	Concentration (–2)	* Beast has average stats for its type. * If slain, it dissipates into mist. * Cannot be healed or resurrected normally.	“A loyal beast answers the planar whistle.”	—
Phalanx of Echoes	Summoning	Novice	18	9	Medium (60 ft)	Wall (30 ft)	Combat Step	* Summons 3–4 phantom warriors along a 30 ft wall. * They provide partial cover and deal minor spectral damage (1 each) if engaged. * Vanish after one step.	Container: AoE (2) → Summon (minor entities, 8)	Range: Medium (5); Shape: Wall 30 ft (4); Duration: Combat Step (2)	Component Requirement (–2; requires stomp or weapon clash)	* Ghosts cannot leave the wall formation. * Attacks count as magical but weak. * Dispersed if directly targeted with Negation/Dispel.	“From memory’s battlefield, the fallen march once more.”	—
Retrieve from Beyond	Summoning	Novice	14	7	Medium (60 ft)		Instantaneous	* Pulls a small unattended object (up to 10 lbs) into caster’s hand. * Object must be visible and within range.	Container: Target (1) → Summon (minor object, 8)	Range: Medium (5); Duration: Instantaneous (1)	Environmental Dependency (–3; fails if object is carried/worn)	* Cannot retrieve objects held or carried. * G.O.D may require skill check if obstructed. * Sudden arrival may cause noise or light distortion.	“The world itself delivers what you demand.”	—
Summon Warband	Summoning	Master	28	14	Medium (60 ft)	Multi-Target (6)	Combat Round	* Summons up to 6 minor warriors. * Each fights with basic martial stats. * Provides morale boost to nearby allies.	Container: Target (1) → Summon (minor, 8) × Multi-Target (6 = 18)	Range: Medium (5); Duration: Combat Round (5)	Concentration (–2); Static Assignment (1)	* Warriors vanish if slain or after duration. * Morale bonus applies only while at least 3 remain. * Cannot be healed.	“The clash of unseen armies marches to your call.”	—
Obsidian Guardian	Summoning	Master	34	17	Short (30 ft)	Single Target	Combat Round	* Summons a large golem-like guardian. * Grants partial cover to allies behind it. * Can grapple or restrain enemies.	Container: Target (1) → Summon (major, 15) + Control (2 → Grapple/Restrain 4)	Range: Short (4); Duration: Combat Round (5);	Component Requirement (–2; requires onyx shard); Static Assignment (1)	* Guardian obeys single-word commands. * Grapple counts as magical restraint. * Dismissed if onyx shard is broken.	“A giant of stone answers, warding the weak and binding the bold.”	—
Circle of Binding	Summoning	Master	42	21	Long (120 ft)	Sphere (20 ft radius)	Combat Round	* Summons a powerful outsider into a binding circle. * Chains restrain it within zone. * Zone also blocks other planar passage.	Container: AoE (2) → Summon (major, 15) + Control (2 → Immobilize 6)	Range: Long (7); Shape: Sphere 20 ft (5 +2 for radius increase); Duration: Combat Round (5)	Backlash Risk (–5); Concentration (–2)	* If concentration fails, creature may break free. * Circle blocks teleport/planar effects in radius. * Outsider hostile unless bargains are struck.	“The chains of your will drag the unwilling from beyond.”	—
Concord of Ten Thousand	Summoning	High Master	53	27	Long (120 ft)	Sphere (40 ft radius)	Combat Round	* Ten minor spectral soldiers appear at chosen points. * Zone grants allies +1 initiative and imposes –1 initiative on foes. * Spatial drag and a shove wall deter crossing.	Container A: Target (1) → Summon (minor, 8) + Multi-Target (+12 for 9 extra = 10 total) = 21; Container B: AoE (2) → Buff (2) + Debuff (2) + Spatial Bubble (8) + [Control (2) → Push (3)] = 19	Range: Long (7); Shape: Sphere 40 ft (5 + 1 size = +3 → 8); Duration: Combat Round (5)	Concentration (–2); Backlash Risk (–5)	* If concentration breaks, the formation field collapses; soldiers persist only until spell ends. * Push is a 10‑ft shove when crossing the wall edge (G.O.D may call for saves). * Soldiers use “minor” statline and vanish at duration end.	“Ten thousand feet march in cadence; the world keeps time or stumbles.”	—
Seal of the Eclipsed Gate	Summoning	High Master	76	38	Line of Sight	Sphere (40 ft radius)	Combat Round	* Two major outsiders manifest within the bubble. * Bubble imposes slow/drag; allies gain a modest boon, foes a hinder. * Both outsiders are bound/immobilized unless control fails.	Container T: Temporal/Spatial (5); Inside it → Container A (AoE 2) → Spatial Bubble (8) + Buff (2) + Debuff (2) = 14; plus Shape/Duration below. Separate: Container B: Target (1) → Summon (major, 15); Container C: Target (1) → Summon (major, 15) = 32; Container D: Control (2) → Immobilize (6) + Multi-Target (2 targets = 3 +1 = 4) = 12	Range: Line of Sight (10); Shape: Sphere 40 ft (5 + 1 size = +3 → 8); Duration: Combat Round (5)	Concentration (–2); Backlash Risk (–5); Environmental Dependency (–3; eclipse/ominous alignment/night sky)	* If concentration fails, either outsider may act freely; G.O.D adjudicates immediate behavior. * Projectiles bend unpredictably through the bubble. * Terrain may suffer lasting scars from planar strain.	“Two worlds grind like gears; you hold the pin that keeps them meshed—until you don’t.”	—
Eternal Concord of Realms	Summoning	Grand Master	156	78	Unlimited (15)	Zone/Cube (5 + 4 sizes = 17)	3 Combat Rounds (15) + Lingering 5 steps (10)	* Summons 2 major entities and 12 minor attendants. * Reshapes terrain into fortified ringwork. * Establishes a temporal bubble that drags enemies. * Allies in zone gain +2 initiative and +1 stat. * Enemies in zone suffer –2 initiative and morale penalties. * At will, banish up to 6 designated enemies inside the cube.	Container A — Temporal/Spatial (5): Summon Major (15) + Summon Major (15) + Summon Minor (8 + Multi-Target 9 = 17) → 52 • Container B — AoE (2): Spatial Bubble (8) + Create/Destroy Major (12) → 22 • Container C — Control (2): Immobilize (6) + Pull (3) + Multi-Target (6) → 17 • Container D — AoE (2): Buff (2+1 extra = 3) + Accelerate/Hasten (4+2 extra = 6) = 11 • Container E — AoE (2): Debuff (2+1 extra = 3) + Decelerate/Slow (4+2 extra = 6) = 11 • Container F — Target (1): Banish (10) + Multi-Target (6) = 17 → Subtotal 132	Range Unlimited (15); Shape Cube 5 + 12 = 17; Duration 15 + 10 = 25 → Add-Ons 57	Modifiers: Concentration (–2); Component Requirement (–4); Backlash Risk (–5) → –11	* If concentration fails, summoned entities may turn hostile. * Terrain alterations remain after spell ends but without magical cohesion. * Banished enemies may return later depending on G.O.D adjudication. * Attendants vanish if commander entity is destroyed.	“When worlds answer one voice, armies march in cadence across time.”	—
Mend Stone	Transmutation	Apprentice	8	4	Touch	Single Target	Instantaneous	Repairs cracks or breaks in stone up to 1 cubic foot.	Target (1) + Create/Destroy (basic, 5) + Touch (2)	Range: Touch (2); Duration: Instantaneous (1)	None	Does not restore magical properties of crafted items.	“Stone remembers wholeness when reminded.”	N/A
Purify Water	Transmutation	Apprentice	8	4	Touch	Single Target	Instantaneous	Removes toxins, filth, or salt from up to 1 gallon of water.	Target (1) + Create/Destroy (basic, 5) + Touch (2)	Range: Touch (2); Duration: Instantaneous (1)	None	Cannot create water; only alters existing liquid.	“Every river seeks purity—the mage only hastens it.”	N/A
Resize Trinket	Transmutation	Apprentice	9	5	Touch	Single Target	Combat Step	Enlarges or shrinks one non-living item (under 10 lbs.) by up to 50% for 1 step.	Target (1) + Buff (2, size mod) + Transform/Alter (10)	Range: Touch (2); Duration: Combat Step (2)	Component Requirement (–2*2=-4); Concentration (–2*2=-4)	If effect ends mid-use, the object snaps back instantly.	“Size is only a suggestion to matter.”	N/A
Shape Metal	Transmutation	Novice	18	9	Touch	Single Target	Combat Round	Reshape up to 1 cubic foot of non‑living metal into a new simple form.	Target (1) + Transform/Alter (10)	Range: Touch (2); Duration: Combat Round (5)	None	Not precise enough for moving clockwork; thin sections may become brittle at G.O.D. discretion.	“Metal remembers the forge.”	N/A
Enlarge Object	Transmutation	Novice	18	9	Short (30 ft)	Single Target	Combat Round	Double the size (and weight) of one non‑living object up to 50 lbs for 1 round.	Target (1) + Transform/Alter (10)	Range: Short (4); Duration: Combat Round (5)	Component Requirement (–2)	Requires a marked scaling token, consumed on cast (–2 Mana). On end, object reverts instantly and may dislodge or strain fittings.	“Greatness is a matter of scale.”	N/A
Stone to Mud	Transmutation	Novice	16	8	Touch	Single Target	Instantaneous	Transform up to a 5‑ft cube of natural/unworked stone into ordinary mud.	Target (1) + Transform/Alter (10) + Create/Destroy (basic, 5)	Range: Touch (2); Duration: Instantaneous (1)	Environmental Dependency (–3)	Only affects natural/unworked stone; finished masonry and carved statues resist and cause the spell to fizzle harmlessly.	“Even mountains have soft hearts.”	N/A
Forgeheart Wall	Transmutation	Master	32	16	Medium (60 ft)	Wall (30 ft)	Combat Round	Instantly raise a 30-ft wall of metal-reinforced stone; provides full cover and blocks passage.	Container 1: AoE (2) + Stand Alone: Create/Destroy (major, 12); Container 2: Target (1) + Stand Alone: Transform/Alter (10)	Range: Medium (5); Shape: Wall (4); Duration: Combat Round (5)	Environmental Dependency (–3)	Wall only manifests if earth/stone is available; fizzles on bare surfaces.	“The earth remembers, but the mage rewrites.”	N/A
Chimeric Fusion	Transmutation	Master	29	15	Touch	Single Target	Combat Round	Temporarily merge two non-living objects into one hybrid, gaining combined traits.	Container 1: Target (1) + Stand Alone: Transform/Alter (10); Container 2: Target (1) + Stand Alone: Create/Destroy (basic, 5)	Range: Touch (2); Duration: Combat Round (5)	Concentration (–2); Component Requirement (alchemical catalyst, –2)	When effect ends, both items take damage or distortion; G.O.D. decides severity.	“What was separate is now one, if only for a heartbeat.”	N/A
Mass Resize	Transmutation	Master	36	18	Short (30 ft)	Radius (20 ft)	Combat Round	All non-living objects in radius enlarged up to ×4 or shrunk to ¼ size for 1 round.	Container 1: AoE (2) + Stand Alone: Transform/Alter (10); Container 2: Control (2) + Stand Alone: Debuff (–2 Strength equivalent, 4)	Range: Short (4); Shape: Radius 20 ft (7); Duration: Combat Round (5)	Backlash Risk (–5)	Caster must pass Willpower or suffer –5% rolls next step from vertigo.	“Size is only a suggestion.”	N/A
